0.94406,-0.34578,0.12304
0.88803,-0.30841,0.091125
0.63351,-0.36209,0.14659
-0.77007,-0.2473,0.14223
-0.43023,-0.27209,0.17884
-0.50677,-0.24226,0.15922
-0.15493,-0.2298,0.17558
-0.098274,-0.18071,0.20791
-0.059313,-0.17192,0.22716
-0.32246,-0.24051,0.20177
-0.50679,-0.22595,0.18268
-0.25041,-0.17383,0.20258
-0.13275,-0.16446,0.21632
-0.3921,-0.16399,0.22041
-0.44601,-0.14801,0.21611
-0.59248,-0.19449,0.23434
-0.41173,-0.26258,0.23509
0.26468,-0.16677,0.22846
0.41742,-0.2369,0.21776
0.44713,-0.15264,0.20278
-0.07011,-0.77821,-0.1725
0.31212,-0.50235,-0.17109
-0.039847,-0.53761,-0.18967
-0.31029,-0.85068,-0.1851
-0.5611,-0.75035,-0.26148
-0.78625,-0.6737,-0.26422
-1.1511,-0.51899,-0.24952
-1.0076,-0.25746,-0.18645
-0.99724,-0.16035,-0.18734
-1.0531,-0.27571,-0.1896
-1.1006,-0.34084,-0.16963
-0.89445,-0.19225,-0.17775
-0.90468,-0.27643,-0.18353
-1.0064,-0.36667,-0.17879
-0.89554,-0.25733,-0.17275
-1.0198,-0.31894,-0.16238
-1.0919,-0.38513,-0.15106
-1.1192,-0.35528,-0.15167
-1.0233,-0.27317,-0.15118
-0.94339,-0.23552,-0.14972
0.46903,-0.22806,0.20998
0.567,-0.19038,0.2099
0.77382,-0.13598,0.25158
0.84885,-0.1337,0.29425
0.74764,-0.10429,0.26557
0.39129,-0.11324,0.25394
0.2705,-0.29609,0.26659
0.20397,-0.31651,0.27133
0.2478,-0.28478,0.27404
0.42058,-0.21778,0.2775
0.62856,-0.26163,0.30513
0.78199,-0.20747,0.2955
0.75142,-0.12059,0.2691
0.61238,-0.24366,0.28839
0.46883,-0.26409,0.25678
0.3558,-0.45101,0.29566
0.12456,-0.4832,0.28217
0.10407,-0.45702,0.27797
-0.039478,-0.63882,0.26695
-0.1312,-0.49091,0.27263
3.3528,0.75424,0.29023
2.9834,0.6945,0.23279
3.3705,0.78162,0.30642
3.6881,0.74987,0.38484
3.4277,0.51543,0.35895
3.4638,0.5158,0.38445
3.5742,0.61756,0.40882
3.3791,0.5805,0.34295
3.4073,0.54978,0.33318
3.3489,0.53475,0.31727
3.4094,0.5824,0.33895
3.5377,0.67181,0.35845
3.4789,0.67717,0.33256
3.5128,0.68184,0.31756
3.4823,0.65809,0.32958
3.4646,0.61223,0.32738
3.2085,0.48945,0.32926
3.0141,0.35935,0.32686
