"","x"
"1",0.612141214091758
"2",0.606966472915475
"3",0.581078028256779
"4",0.433302138088286
"5",0.475238010315677
"6",0.466483727567433
"7",0.49896729763172
"8",0.510336604817856
"9",0.5168989258699
"10",0.485400249361866
"11",0.461202665153714
"12",0.492116382134918
"13",0.504822976323137
"14",0.476476200851216
"15",0.469709913016882
"16",0.460290029177871
"17",0.481225127076284
"18",0.5530072773074
"19",0.568202188494474
"20",0.568558722913274
"21",0.482038071728479
"22",0.524773753548329
"23",0.480406866809074
"24",0.455045883870866
"25",0.42102028580815
"26",0.391203171469528
"27",0.354017058137639
"28",0.375566207364968
"29",0.378230174276673
"30",0.371241713232015
"31",0.368592857421747
"32",0.388790400975393
"33",0.387612253523098
"34",0.379825150288921
"35",0.390637309437898
"36",0.376254279371527
"37",0.369543205780215
"38",0.367436527238551
"39",0.380469208565244
"40",0.389209649212951
"41",0.564189684957929
"42",0.576705316222653
"43",0.601987672614736
"44",0.614863413884776
"45",0.605165753086208
"46",0.564975758571956
"47",0.553585844780121
"48",0.544022874924704
"49",0.551306448948853
"50",0.571197046145565
"51",0.592343631778929
"52",0.608605346257761
"53",0.601026713657764
"54",0.588076340185771
"55",0.571633721287415
"56",0.563421890254084
"57",0.539018190375242
"58",0.536659262630513
"59",0.520201693028796
"60",0.506804819782796
"61",0.957400540780866
"62",0.913028695941805
"63",0.959288470859004
"64",1
"65",0.974230520422502
"66",0.982232124531884
"67",0.996450829757817
"68",0.965154757882113
"69",0.972550472612558
"70",0.961956783904005
"71",0.970774754141287
"72",0.986323194110006
"73",0.977970919471981
"74",0.980791221354586
"75",0.979198446666125
"76",0.974514154190503
"77",0.947227664147898
"78",0.926917673652614
"79",0.906700598316203
"80",0.927408543471584
"81",0.358288169761802
"82",0.385889321558317
"83",0.37858507263832
"84",0.373521364689529
"85",0.370146191241958
"86",0.383445855397929
"87",0.397095980421727
"88",0.422279823641835
"89",0.437149835528365
"90",0.438103302315307
"91",0.420944177309098
"92",0.448054325521755
"93",0.479019187105947
"94",0.466308371219146
"95",0.468412927072605
"96",0.479564250851272
"97",0.489787105233502
"98",0.503907590228297
"99",0.494239681129246
"100",0.496979149123266
"101",0.406568522356656
"102",0.42839236569432
"103",0.354723355865529
"104",0.34794229904753
"105",0.339273164669929
"106",0.333364889469168
"107",0.320480175018318
"108",0.296936886490108
"109",0.308880917302418
"110",0.306224368199654
"111",0.295777002591963
"112",0.312723661756774
"113",0.320561579242016
"114",0.33879830719688
"115",0.368283034345036
"116",0.364069579810708
"117",0.359541036317871
"118",0.377035774897906
"119",0.39604131128115
"120",0.421260247425617
"121",0.508885524143024
"122",0.545635611615105
"123",0.501142088662615
"124",0.489300009409089
"125",0.495592846641915
"126",0.457871545729041
"127",0.411480035813692
"128",0.432489952020501
"129",0.458357207576873
"130",0.445243289850435
"131",0.444783407978261
"132",0.45842582915381
"133",0.451569744460836
"134",0.440285596301889
"135",0.447220706337122
"136",0.456798084806281
"137",0.460852486030737
"138",0.499824735568618
"139",0.495659637975729
"140",0.495550611268487
"141",0.445012982149405
"142",0.472581295056278
"143",0.451686469573328
"144",0.472961426176375
"145",0.462754175446139
"146",0.443458932281445
"147",0.431075825992815
"148",0.448530555774915
"149",0.462669653013675
"150",0.476262631092215
"151",0.457844478541249
"152",0.487650492714184
"153",0.499703675371279
"154",0.488864990736162
"155",0.489131467193147
"156",0.495626524332501
"157",0.504876032811799
"158",0.528910608313788
"159",0.519260788687812
"160",0.511272890814698
"161",0.344976237484338
"162",0.29229686229136
"163",0.248606032088795
"164",0.254526294102936
"165",0.279916667541431
"166",0.282626827293165
"167",0.290760861918575
"168",0.300159425449361
"169",0.315243110651929
"170",0.330758847907859
"171",0.335635993028586
"172",0.347260456743996
"173",0.358636046717735
"174",0.342401145171877
"175",0.343496225821189
"176",0.376388913164371
"177",0.381934235985686
"178",0.402828336983859
"179",0.402596456902228
"180",0.424531674363961
"181",0.509367126897236
"182",0.553501979778108
"183",0.579445577593652
"184",0.574665414472763
"185",0.578151312810849
"186",0.549290238147437
"187",0.550654050021572
"188",0.531688782545827
"189",0.537349216667806
"190",0.556014528620346
"191",0.541878864942379
"192",0.531572089365331
"193",0.538161030144775
"194",0.541431880628537
"195",0.547877135545121
"196",0.535015465929545
"197",0.525754854900133
"198",0.522006485926958
"199",0.515060242989238
"200",0.502887010717577
"201",0.830112030302829
"202",0.841413065855277
"203",0.83241741485151
"204",0.838317711651079
"205",0.820022553118549
"206",0.778144930049229
"207",0.812017265627661
"208",0.824036036122705
"209",0.834838091410754
"210",0.836461411784722
"211",0.850062202022474
"212",0.858474188207342
"213",0.857598712403257
"214",0.836493706143018
"215",0.845789165293106
"216",0.862573391216841
"217",0.860710152631007
"218",0.863345959401252
"219",0.861439080013891
"220",0.864549772398378
"221",0.349526743192138
"222",0.351856861816863
"223",0.327731567694997
"224",0.232346015899524
"225",0.215295164624734
"226",0.197944526585418
"227",0.206041689920658
"228",0.187362314344192
"229",0.159282882599757
"230",0.150428247135568
"231",0.1449775224612
"232",0.133474058267865
"233",0.138471578142452
"234",0.137860535501828
"235",0.120239388721956
"236",0.101551478548745
"237",0.0894894652567775
"238",0.0682419589533011
"239",0.0490626854132519
"240",0
