0.99881,0.99347,0.99808,0.9995,0.99703
0.99613,0.98316,0.97094,0.99992,0.99925
0.99968,0.99948,0.98761,0.99817,0.99966
0.99781,0.99939,0.99587,0.98206,0.99628
0.97769,0.98417,0.99922,1,0.99978
0.99567,0.99659,0.99176,0.99475,0.99694
0.99969,0.99504,0.99996,0.99999,0.9928
0.99986,0.99265,0.9999,0.99939,1
0.99986,0.99988,0.98854,0.97243,0.97868
0.99971,0.99268,0.97596,0.98434,0.99864
0.95137,0.99873,0.99977,0.99841,0.99996
0.99998,0.99969,0.99976,0.98881,0.99996
1,0.99959,0.97807,0.91305,0.97934
0.9998,0.99995,0.99733,0.99976,0.99515
0.9992,0.99998,0.99043,0.98901,0.99937
0.99649,0.99996,0.99512,0.98457,0.99997
0.99763,0.9995,0.99693,0.99904,0.99351
1,0.98811,0.99824,0.99647,0.99406
1,0.99844,0.99291,0.99418,0.99742
0.98817,0.99716,0.98815,0.9859,0.98347
0.97798,0.99894,0.98188,0.99811,0.99775
0.99991,0.95796,0.98437,0.99792,0.97754
0.99799,0.99751,0.9986,0.9964,0.99668
0.99739,0.96744,0.98121,0.99997,0.99922
0.99488,0.9934,0.97997,0.99863,0.99748
0.99936,0.9983,0.97977,0.97325,0.99984
0.99722,0.99906,0.96389,0.99266,0.95821
0.99471,0.99136,0.9801,0.97657,0.99934
0.98822,0.98539,0.97684,0.99868,0.99772
0.99724,0.99482,0.97546,0.98724,0.99987
0.99956,0.99979,0.99637,0.9978,0.96835
0.99853,0.99605,0.99993,0.99556,0.996
0.99994,0.99189,0.99765,0.99448,0.99988
0.99707,0.97443,0.96827,0.98367,0.99359
0.99877,0.98821,0.99727,0.99954,0.99987
0.9965,0.99896,0.99695,0.99999,0.99969
0.99791,0.9991,0.99998,0.98547,1
0.9887,0.99226,0.98899,0.99813,0.99682
0.99649,0.99627,0.99969,0.9955,0.99845
0.9891,0.99905,0.99698,0.98979,0.99563
1,0.97984,0.99598,0.98575,0.9839
0.99971,0.99986,0.9995,0.98639,0.97763
0.98697,0.9998,0.9988,0.99996,0.99053
0.99464,0.99344,0.99528,0.99396,1
0.99962,0.99658,0.99406,0.99986,0.99979
0.99621,0.99965,0.99864,0.99317,0.9979
0.98248,0.94237,0.96899,0.99947,0.99959
0.9994,0.99352,0.99993,0.97783,0.99547
0.99278,0.99411,0.98821,0.99936,0.99951
0.99893,0.98174,0.99552,0.97531,0.98916
0.99849,1,0.98383,0.96704,0.99123
0.99847,0.99303,0.9992,0.97235,0.97592
0.99616,0.99883,0.99663,0.9965,0.99452
0.99994,0.99214,0.99996,0.95988,0.98984
0.99966,0.9854,0.99911,0.97291,0.98376
0.99996,0.99812,0.99982,0.99979,0.99625
0.9856,0.99763,0.98297,0.99807,0.99371
0.98138,0.99476,0.99765,0.99878,0.99439
0.99966,0.99849,0.99599,0.99021,0.98316
0.9969,0.99723,0.998,0.99997,0.99793
0.99993,0.99901,0.99885,0.99949,0.99802
0.9715,0.99234,0.99999,0.99107,0.99203
0.99997,0.98411,0.9995,0.99445,0.99558
0.99971,0.99794,0.99873,0.99963,0.99137
0.99947,0.99895,0.99929,0.99927,0.98706
0.99776,0.99241,1,0.99982,0.99225
0.98726,0.99974,0.99383,0.96761,0.98057
0.99994,0.99787,0.99614,0.99472,0.99485
0.99968,0.95564,0.99606,0.9946,0.99164
0.99452,0.99544,0.99281,0.99367,0.99641
0.99959,0.98798,0.99914,0.99599,0.99653
0.98742,0.99584,0.9983,0.99422,0.98938
0.99996,0.9993,0.97856,0.99994,0.99385
0.99589,0.99514,0.99966,0.99314,1
0.9937,0.97408,0.99868,0.99931,0.99781
0.99998,0.99134,0.99826,1,0.99737
0.99925,0.99024,0.98918,0.92133,0.97008
0.99911,0.99252,0.96525,0.99905,0.99804
0.99877,0.99313,0.99957,0.98285,0.9499
0.98287,0.99668,0.98903,0.9994,0.99985
0.99524,0.9998,0.99189,0.99602,0.99591
0.99843,0.99901,0.99653,0.98581,0.98508
0.99919,0.99947,0.99618,0.99919,0.99545
0.98384,0.99054,0.97345,0.98848,0.98362
0.99459,0.99777,0.99534,0.99888,0.99912
0.99787,0.97197,0.99578,0.99838,0.99793
0.99917,0.99988,0.99414,0.99566,0.99982
0.99873,0.99521,0.96455,0.9988,0.99994
0.99211,0.99105,0.99998,0.98899,0.99835
0.99315,0.99834,0.99776,0.98939,0.99925
0.99976,0.99801,0.99515,0.99631,0.99858
0.99793,0.99881,0.99988,0.9955,0.95898
0.99808,0.99951,0.99756,0.99698,0.95131
0.99904,0.9952,0.99094,0.9978,0.99931
0.99914,0.99981,0.99989,0.99957,0.99972
0.98486,0.99349,0.99138,0.97739,0.98344
0.97271,1,0.99996,0.98502,0.98517
0.99614,0.99758,0.99547,0.97761,0.99787
0.99913,0.97287,0.9984,1,0.97704
0.99634,0.99168,0.99982,0.97366,0.93785
